ticker,fiscal_period,fiscal_date,report_date,revenue,eps,net_income,equity,total_debt,free_cash_flow,roe,roic,debt_to_equity,gross_margin,operating_margin
AAPL,Q2,2021-06-30,2021-08-14,59.4245,3.0339,11.4036,640.5303,494.7998,9.3537,0.0712,0.0605,0.7865,0.5873,0.3703
AAPL,Q3,2021-09-30,2021-11-14,61.7018,3.3149,11.8406,652.3649,503.7642,9.6234,0.0726,0.0617,0.7865,0.5873,0.3703
AAPL,Q4,2021-12-31,2022-03-31,58.2322,3.3515,11.1748,663.5336,513.0719,9.7308,0.0674,0.0573,0.7865,0.5873,0.3703
AAPL,Q1,2022-03-31,2022-05-15,59.1772,3.5942,11.3561,674.8833,521.8559,9.8226,0.0673,0.0572,0.7865,0.5873,0.3703
AAPL,Q2,2022-06-30,2022-08-14,62.3903,4.0089,11.9727,686.8488,530.7822,9.7824,0.0697,0.0593,0.7865,0.5873,0.3703
AAPL,Q3,2022-09-30,2022-11-14,60.7749,4.723,11.6627,698.503,540.1928,11.1421,0.0668,0.0568,0.7865,0.5873,0.3703
AAPL,Q4,2022-12-31,2023-03-31,62.9928,5.608,12.0883,710.5812,549.3586,10.7751,0.068,0.0578,0.7865,0.5873,0.3703
AAPL,Q1,2023-03-31,2023-05-15,64.7136,6.1142,12.4186,722.9887,558.8579,11.1861,0.0687,0.0584,0.7865,0.5873,0.3703
AAPL,Q2,2023-06-30,2023-08-14,69.5043,5.0677,13.3379,736.3175,568.6161,11.8218,0.0725,0.0616,0.7865,0.5873,0.3703
AAPL,Q3,2023-09-30,2023-11-14,70.8404,5.3945,13.5943,749.9021,579.0989,11.6673,0.0725,0.0616,0.7865,0.5873,0.3703
AAPL,Q4,2023-12-31,2024-03-30,72.1665,6.8474,13.8488,763.7385,589.7829,12.9835,0.0725,0.0617,0.7865,0.5873,0.3703
AAPL,Q1,2024-03-31,2024-05-15,70.0856,6.4642,13.4495,777.1763,600.665,13.0971,0.0692,0.0588,0.7865,0.5873,0.3703
AAPL,Q2,2024-06-30,2024-08-14,77.9489,6.8216,14.9584,792.1224,611.2336,12.521,0.0755,0.0642,0.7865,0.5873,0.3703
AAPL,Q3,2024-09-30,2024-11-14,79.3898,5.7926,15.2349,807.3469,622.9884,12.5695,0.0755,0.0642,0.7865,0.5873,0.3703
AAPL,Q4,2024-12-31,2025-03-31,80.8075,7.0138,15.507,822.8413,634.9622,14.466,0.0754,0.0641,0.7865,0.5873,0.3703
AAPL,Q1,2025-03-31,2025-05-15,76.7153,4.5068,14.7217,837.5548,647.1481,13.7964,0.0703,0.0598,0.7865,0.5873,0.3703
AAPL,Q2,2025-06-30,2025-08-14,75.441,4.7126,14.4772,852.0235,658.7201,13.3286,0.068,0.0578,0.7865,0.5873,0.3703
AAPL,Q3,2025-09-30,2025-11-14,80.3962,4.2811,15.4281,867.4438,670.0994,14.2352,0.0711,0.0605,0.7865,0.5873,0.3703
AAPL,Q4,2025-12-31,2026-03-31,86.722,4.9934,16.642,884.0768,682.2272,14.1704,0.0753,0.064,0.7865,0.5873,0.3703
AAPL,Q1,2026-03-31,2026-05-15,86.7566,5.154,16.6486,900.7161,695.3087,13.3507,0.0739,0.0628,0.7865,0.5873,0.3703
MSFT,Q3,2009-09-30,2009-11-14,38.5159,1.1845,5.3614,229.4078,135.131,4.5384,0.0935,0.0795,0.6031,0.7437,0.344
MSFT,Q4,2009-12-31,2010-03-31,38.6214,1.1931,5.3761,234.7821,138.3636,4.7524,0.0916,0.0779,0.6031,0.7437,0.344
MSFT,Q1,2010-03-31,2010-05-15,39.6088,1.2008,5.5135,240.2938,141.605,4.9812,0.0918,0.078,0.6031,0.7437,0.344
MSFT,Q2,2010-06-30,2010-08-14,40.4919,1.1762,5.6365,245.9286,144.9293,5.4786,0.0917,0.0779,0.6031,0.7437,0.344
MSFT,Q3,2010-09-30,2010-11-14,40.784,1.0452,5.6771,251.6041,148.3278,4.9066,0.0903,0.0767,0.6031,0.7437,0.344
MSFT,Q4,2010-12-31,2011-03-31,42.6177,1.3201,5.9324,257.5345,151.7509,5.9525,0.0921,0.0783,0.6031,0.7437,0.344
MSFT,Q1,2011-03-31,2011-05-15,44.7051,1.7021,6.223,263.7549,155.3278,5.5227,0.0944,0.0802,0.6031,0.7437,0.344
MSFT,Q2,2011-06-30,2011-08-14,45.1908,1.9196,6.2906,270.0426,159.0795,5.215,0.0932,0.0792,0.6031,0.7437,0.344
MSFT,Q3,2011-09-30,2011-11-14,47.8807,2.1787,6.665,276.7043,162.8718,6.0783,0.0963,0.0819,0.6031,0.7437,0.344
MSFT,Q4,2011-12-31,2012-03-30,52.5721,2.4088,7.318,284.0188,166.8897,6.3884,0.1031,0.0876,0.6031,0.7437,0.344
MSFT,Q1,2012-03-31,2012-05-15,53.4111,2.4991,7.4348,291.4498,171.3013,6.2848,0.102,0.0867,0.6031,0.7437,0.344
MSFT,Q2,2012-06-30,2012-08-14,53.0861,2.8492,7.3896,298.8351,175.7832,7.2787,0.0989,0.0841,0.6031,0.7437,0.344
MSFT,Q3,2012-09-30,2012-11-14,53.6873,2.6767,7.4733,306.3044,180.2376,6.4737,0.0976,0.083,0.6031,0.7437,0.344
MSFT,Q4,2012-12-31,2013-03-31,54.1201,2.5592,7.5335,313.8341,184.7425,7.2526,0.096,0.0816,0.6031,0.7437,0.344
MSFT,Q1,2013-03-31,2013-05-15,56.7427,2.7802,7.8986,321.7285,189.2839,7.317,0.0982,0.0835,0.6031,0.7437,0.344
MSFT,Q2,2013-06-30,2013-08-14,63.4714,2.1915,8.8352,330.5604,194.0453,7.8609,0.1069,0.0909,0.6031,0.7437,0.344
MSFT,Q3,2013-09-30,2013-11-14,67.0213,2.3947,9.3294,339.8862,199.3721,8.6807,0.1098,0.0933,0.6031,0.7437,0.344
MSFT,Q4,2013-12-31,2014-03-31,65.989,2.1874,9.1857,349.0686,204.9968,8.944,0.1053,0.0895,0.6031,0.7437,0.344
MSFT,Q1,2014-03-31,2014-05-15,67.3509,1.7813,9.3752,358.4412,210.535,9.0982,0.1046,0.0889,0.6031,0.7437,0.344
MSFT,Q2,2014-06-30,2014-08-14,75.5612,1.7124,10.5181,368.9567,216.188,10.4055,0.114,0.0969,0.6031,0.7437,0.344
MSFT,Q3,2014-09-30,2014-11-14,77.0643,1.7201,10.7274,379.6815,222.5302,9.195,0.113,0.0961,0.6031,0.7437,0.344
MSFT,Q4,2014-12-31,2015-03-31,78.3258,1.9772,10.903,390.5815,228.9987,10.9154,0.1117,0.0949,0.6031,0.7437,0.344
MSFT,Q1,2015-03-31,2015-05-15,74.3299,2.4956,10.3467,400.9245,235.5729,8.6767,0.1032,0.0877,0.6031,0.7437,0.344
MSFT,Q2,2015-06-30,2015-08-14,72.5921,2.0253,10.1048,411.0263,241.8111,9.1693,0.0983,0.0836,0.6031,0.7437,0.344
MSFT,Q3,2015-09-30,2015-11-14,76.6247,2.1117,10.6662,421.6893,247.9038,8.9409,0.1012,0.086,0.6031,0.7437,0.344
MSFT,Q4,2015-12-31,2016-03-30,83.3097,1.7278,11.5967,433.2834,254.335,10.0324,0.1071,0.091,0.6031,0.7437,0.344
MSFT,Q1,2016-03-31,2016-05-15,81.337,1.3176,11.3221,444.6035,261.3278,10.0876,0.1019,0.0866,0.6031,0.7437,0.344
MSFT,Q2,2016-06-30,2016-08-14,79.7704,1.3472,11.104,455.7055,268.1554,10.1316,0.0975,0.0828,0.6031,0.7437,0.344
MSFT,Q3,2016-09-30,2016-11-14,80.6209,1.5308,11.2224,466.9257,274.8514,10.8615,0.0961,0.0817,0.6031,0.7437,0.344
MSFT,Q4,2016-12-31,2017-03-31,83.2834,1.4556,11.5931,478.5165,281.6186,9.8546,0.0969,0.0824,0.6031,0.7437,0.344
MSFT,Q1,2017-03-31,2017-05-15,83.2035,1.3417,11.5819,490.0965,288.6095,10.6004,0.0945,0.0803,0.6031,0.7437,0.344
MSFT,Q2,2017-06-30,2017-08-14,85.3381,1.3028,11.8791,501.9736,295.5937,10.8304,0.0947,0.0805,0.6031,0.7437,0.344
MSFT,Q3,2017-09-30,2017-11-14,90.0154,1.5061,12.5301,514.5014,302.7572,12.1012,0.0974,0.0828,0.6031,0.7437,0.344
MSFT,Q4,2017-12-31,2018-03-31,89.7129,1.814,12.488,526.9868,310.3132,11.1085,0.0948,0.0806,0.6031,0.7437,0.344
MSFT,Q1,2018-03-31,2018-05-15,95.8994,2.2452,13.3492,540.3326,317.8435,11.6412,0.0988,0.084,0.6031,0.7437,0.344
MSFT,Q2,2018-06-30,2018-08-14,99.9217,2.7362,13.9091,554.2376,325.8928,13.833,0.1004,0.0853,0.6031,0.7437,0.344
MSFT,Q3,2018-09-30,2018-11-14,104.0186,1.8732,14.4794,568.7142,334.2794,12.1489,0.1018,0.0866,0.6031,0.7437,0.344
MSFT,Q4,2018-12-31,2019-03-31,106.8462,1.7078,14.873,583.5846,343.0107,14.9428,0.1019,0.0867,0.6031,0.7437,0.344
MSFT,Q1,2019-03-31,2019-05-15,110.5936,1.9216,15.3946,598.9764,351.9796,15.021,0.1028,0.0874,0.6031,0.7437,0.344
MSFT,Q2,2019-06-30,2019-08-14,115.2915,1.6486,16.0486,615.0225,361.2628,15.9918,0.1044,0.0887,0.6031,0.7437,0.344
MSFT,Q3,2019-09-30,2019-11-14,118.4447,1.5456,16.4875,631.5077,370.9408,15.8087,0.1044,0.0888,0.6031,0.7437,0.344
MSFT,Q4,2019-12-31,2020-03-30,122.6,1.801,17.0659,648.5709,380.8836,16.7035,0.1053,0.0895,0.6031,0.7437,0.344
MSFT,Q1,2020-03-31,2020-05-15,123.1161,1.6921,17.1378,665.7061,391.175,15.7587,0.103,0.0875,0.6031,0.7437,0.344
MSFT,Q2,2020-06-30,2020-08-14,130.7826,2.1705,18.2049,683.9078,401.5098,15.1503,0.1065,0.0905,0.6031,0.7437,0.344
MSFT,Q3,2020-09-30,2020-11-14,142.1469,2.3233,19.7869,703.6912,412.4879,19.7947,0.1125,0.0956,0.6031,0.7437,0.344
MSFT,Q4,2020-12-31,2021-03-31,147.9901,2.5462,20.6002,724.2876,424.4199,17.6496,0.1138,0.0967,0.6031,0.7437,0.344
MSFT,Q1,2021-03-31,2021-05-15,147.8313,2.3948,20.5781,744.8621,436.8423,20.389,0.1105,0.0939,0.6031,0.7437,0.344
MSFT,Q2,2021-06-30,2021-08-14,146.9889,1.9538,20.4609,765.32,449.2515,18.9735,0.1069,0.0909,0.6031,0.7437,0.344
MSFT,Q3,2021-09-30,2021-11-14,158.6129,1.9852,22.0789,787.396,461.5903,22.1779,0.1122,0.0953,0.6031,0.7437,0.344
MSFT,Q4,2021-12-31,2022-03-31,156.5225,1.8389,21.7879,809.1811,474.9051,19.0832,0.1077,0.0915,0.6031,0.7437,0.344
MSFT,Q1,2022-03-31,2022-05-15,148.1724,1.9004,20.6256,829.8039,488.0444,18.212,0.0994,0.0845,0.6031,0.7437,0.344
MSFT,Q2,2022-06-30,2022-08-14,148.5153,2.4272,20.6733,850.4736,500.4827,20.3416,0.0972,0.0826,0.6031,0.7437,0.344
MSFT,Q3,2022-09-30,2022-11-14,159.8265,2.7136,22.2479,872.7174,512.9493,21.5994,0.102,0.0867,0.6031,0.7437,0.344
MSFT,Q4,2022-12-31,2023-03-31,157.8288,2.7998,21.9698,894.683,526.3653,18.9344,0.0982,0.0835,0.6031,0.7437,0.344
MSFT,Q1,2023-03-31,2023-05-15,161.9963,2.4117,22.5499,917.2292,539.6135,21.781,0.0983,0.0836,0.6031,0.7437,0.344
MSFT,Q2,2023-06-30,2023-08-14,161.6423,2.1739,22.5006,939.7266,553.2119,21.0785,0.0958,0.0814,0.6031,0.7437,0.344
MSFT,Q3,2023-09-30,2023-11-14,178.9113,2.4675,24.9045,964.6273,566.7808,22.0036,0.1033,0.0878,0.6031,0.7437,0.344
MSFT,Q4,2023-12-31,2024-03-30,190.5658,2.1714,26.5268,991.1508,581.7993,23.4073,0.1071,0.091,0.6031,0.7437,0.344
MSFT,Q1,2024-03-31,2024-05-15,196.147,1.6634,27.3037,1018.452,597.7965,26.5853,0.1072,0.0912,0.6031,0.7437,0.344
MSFT,Q2,2024-06-30,2024-08-14,195.4449,1.8953,27.2059,1045.6551,614.2628,26.6175,0.1041,0.0885,0.6031,0.7437,0.344
MSFT,Q3,2024-09-30,2024-11-14,188.6049,1.8162,26.2538,1071.9062,630.6699,25.7848,0.098,0.0833,0.6031,0.7437,0.344
MSFT,Q4,2024-12-31,2025-03-31,190.1947,2.1373,26.4751,1098.3781,646.5028,22.6442,0.0964,0.082,0.6031,0.7437,0.344
MSFT,Q1,2025-03-31,2025-05-15,195.4852,2.565,27.2115,1125.5858,662.4689,22.8968,0.0967,0.0822,0.6031,0.7437,0.344
MSFT,Q2,2025-06-30,2025-08-14,200.0,2.4948,27.84,1153.4221,678.8787,27.7657,0.0965,0.0821,0.6031,0.7437,0.344
MSFT,Q3,2025-09-30,2025-11-14,200.0,3.1458,27.84,1181.2573,695.6677,23.5845,0.0943,0.0801,0.6031,0.7437,0.344
MSFT,Q4,2025-12-31,2026-03-31,200.0,3.4961,27.84,1209.0921,712.4561,27.4761,0.0921,0.0783,0.6031,0.7437,0.344
MSFT,Q1,2026-03-31,2026-05-15,200.0,3.6967,27.84,1236.9266,729.2442,26.947,0.09,0.0765,0.6031,0.7437,0.344
NVDA,Q3,2009-09-30,2009-11-14,5.3983,0.4935,1.1412,13.092,7.4559,0.9075,0.3487,0.2964,0.6239,0.528,0.3702
NVDA,Q4,2009-12-31,2010-03-31,5.527,0.5459,1.1684,14.2603,8.1679,0.9759,0.3277,0.2786,0.6239,0.528,0.3702
NVDA,Q1,2010-03-31,2010-05-15,5.7749,0.5457,1.2208,15.4811,8.8968,1.1352,0.3154,0.2681,0.6239,0.528,0.3702
NVDA,Q2,2010-06-30,2010-08-14,6.2044,0.6755,1.3116,16.7926,9.6584,1.2026,0.3124,0.2656,0.6239,0.528,0.3702
NVDA,Q3,2010-09-30,2010-11-14,6.4777,0.7305,1.3694,18.1619,10.4766,1.2633,0.3016,0.2564,0.6239,0.528,0.3702
NVDA,Q4,2010-12-31,2011-03-31,6.5651,0.7745,1.3879,19.5497,11.3309,1.272,0.284,0.2414,0.6239,0.528,0.3702
NVDA,Q1,2011-03-31,2011-05-15,6.3401,0.7819,1.3403,20.8899,12.1967,1.1305,0.2566,0.2181,0.6239,0.528,0.3702
NVDA,Q2,2011-06-30,2011-08-14,6.6004,0.9751,1.3953,22.2851,13.0328,1.1987,0.2504,0.2129,0.6239,0.528,0.3702
NVDA,Q3,2011-09-30,2011-11-14,6.7273,1.1542,1.4221,23.7071,13.9033,1.1629,0.24,0.204,0.6239,0.528,0.3702
NVDA,Q4,2011-12-31,2012-03-30,6.8236,1.2925,1.4425,25.1494,14.7904,1.2697,0.2294,0.195,0.6239,0.528,0.3702
NVDA,Q1,2012-03-31,2012-05-15,6.4749,1.4223,1.3688,26.5181,15.6903,1.2153,0.2065,0.1755,0.6239,0.528,0.3702
NVDA,Q2,2012-06-30,2012-08-14,6.6463,1.3162,1.405,27.9229,16.5442,1.1552,0.2013,0.1711,0.6239,0.528,0.3702
NVDA,Q3,2012-09-30,2012-11-14,6.6292,1.4614,1.4014,29.3242,17.4206,1.1167,0.1912,0.1625,0.6239,0.528,0.3702
NVDA,Q4,2012-12-31,2013-03-31,6.5564,1.8296,1.386,30.71,18.2948,1.228,0.1805,0.1535,0.6239,0.528,0.3702
NVDA,Q1,2013-03-31,2013-05-15,6.9988,2.2307,1.4795,32.1892,19.1594,1.1905,0.1839,0.1563,0.6239,0.528,0.3702
NVDA,Q2,2013-06-30,2013-08-14,6.6918,1.8278,1.4146,33.6037,20.0823,1.2556,0.1684,0.1431,0.6239,0.528,0.3702
NVDA,Q3,2013-09-30,2013-11-14,6.4786,1.6494,1.3696,34.973,20.9647,1.2679,0.1566,0.1331,0.6239,0.528,0.3702
NVDA,Q4,2013-12-31,2014-03-31,6.5562,1.988,1.386,36.3588,21.8191,1.2946,0.1525,0.1296,0.6239,0.528,0.3702
NVDA,Q1,2014-03-31,2014-05-15,6.6626,2.1049,1.4085,37.767,22.6836,1.1123,0.1492,0.1268,0.6239,0.528,0.3702
NVDA,Q2,2014-06-30,2014-08-14,6.8492,2.165,1.4479,39.2147,23.5622,1.1638,0.1477,0.1255,0.6239,0.528,0.3702
NVDA,Q3,2014-09-30,2014-11-14,7.0026,2.34,1.4803,40.6947,24.4653,1.3835,0.1455,0.1237,0.6239,0.528,0.3702
NVDA,Q4,2014-12-31,2015-03-31,7.4687,2.505,1.5789,42.2733,25.3887,1.3444,0.1494,0.127,0.6239,0.528,0.3702
NVDA,Q1,2015-03-31,2015-05-15,8.2174,2.5965,1.7372,44.0102,26.3736,1.4519,0.1579,0.1342,0.6239,0.528,0.3702
NVDA,Q2,2015-06-30,2015-08-14,8.3971,2.0632,1.7751,45.7851,27.4572,1.5191,0.1551,0.1318,0.6239,0.528,0.3702
NVDA,Q3,2015-09-30,2015-11-14,8.5496,2.1573,1.8074,47.5922,28.5645,1.602,0.1519,0.1291,0.6239,0.528,0.3702
NVDA,Q4,2015-12-31,2016-03-30,8.7693,2.4447,1.8538,49.4457,29.6919,1.6505,0.15,0.1275,0.6239,0.528,0.3702
NVDA,Q1,2016-03-31,2016-05-15,8.9301,2.5907,1.8878,51.3332,30.8483,1.5947,0.1471,0.125,0.6239,0.528,0.3702
NVDA,Q2,2016-06-30,2016-08-14,9.1482,2.4195,1.9339,53.2669,32.0259,1.5463,0.1452,0.1234,0.6239,0.528,0.3702
NVDA,Q3,2016-09-30,2016-11-14,9.217,2.2512,1.9485,55.2151,33.2323,1.6362,0.1412,0.12,0.6239,0.528,0.3702
NVDA,Q4,2016-12-31,2017-03-31,9.3007,2.1658,1.9662,57.181,34.4477,1.731,0.1375,0.1169,0.6239,0.528,0.3702
NVDA,Q1,2017-03-31,2017-05-15,9.0179,2.6609,1.9064,59.087,35.6742,1.7872,0.1291,0.1097,0.6239,0.528,0.3702
NVDA,Q2,2017-06-30,2017-08-14,8.8032,3.3297,1.861,60.9476,36.8634,1.4778,0.1221,0.1038,0.6239,0.528,0.3702
NVDA,Q3,2017-09-30,2017-11-14,9.4831,3.3354,2.0047,62.952,38.0242,1.6235,0.1274,0.1083,0.6239,0.528,0.3702
NVDA,Q4,2017-12-31,2018-03-31,9.4405,2.9012,1.9957,64.9473,39.2746,1.6275,0.1229,0.1045,0.6239,0.528,0.3702
NVDA,Q1,2018-03-31,2018-05-15,9.8041,3.2627,2.0726,67.0195,40.5195,1.6744,0.1237,0.1051,0.6239,0.528,0.3702
NVDA,Q2,2018-06-30,2018-08-14,10.5592,3.5755,2.2322,69.2513,41.8123,1.8359,0.1289,0.1096,0.6239,0.528,0.3702
NVDA,Q3,2018-09-30,2018-11-14,10.6007,4.074,2.241,71.4918,43.2047,1.7342,0.1254,0.1066,0.6239,0.528,0.3702
NVDA,Q4,2018-12-31,2019-03-31,11.0877,4.2674,2.3439,73.8352,44.6025,1.8617,0.127,0.1079,0.6239,0.528,0.3702
NVDA,Q1,2019-03-31,2019-05-15,11.7024,5.1659,2.4739,76.3085,46.0645,2.3098,0.1297,0.1102,0.6239,0.528,0.3702
NVDA,Q2,2019-06-30,2019-08-14,11.4839,6.019,2.4277,78.7355,47.6075,1.867,0.1233,0.1048,0.6239,0.528,0.3702
NVDA,Q3,2019-09-30,2019-11-14,12.3153,6.3711,2.6034,81.3382,49.1217,2.2823,0.128,0.1088,0.6239,0.528,0.3702
NVDA,Q4,2019-12-31,2020-03-30,12.4388,5.4876,2.6295,83.9671,50.7455,2.0568,0.1253,0.1065,0.6239,0.528,0.3702
NVDA,Q1,2020-03-31,2020-05-15,12.584,5.4501,2.6603,86.6267,52.3856,2.4691,0.1228,0.1044,0.6239,0.528,0.3702
NVDA,Q2,2020-06-30,2020-08-14,12.4431,6.3425,2.6305,89.2564,54.0449,2.3689,0.1179,0.1002,0.6239,0.528,0.3702
NVDA,Q3,2020-09-30,2020-11-14,12.9554,5.8569,2.7388,91.9945,55.6855,2.4515,0.1191,0.1012,0.6239,0.528,0.3702
NVDA,Q4,2020-12-31,2021-03-31,13.255,6.1498,2.8021,94.7959,57.3937,2.3051,0.1182,0.1005,0.6239,0.528,0.3702
